[MCNA] -> Loss: 0.12485703080892563 | Accuracy: 0.9673389196395874
[MCA-v1-150x150] -> Loss: 0.1208541989326477 | Accuracy: 0.9670398831367493
[MCA-v1-150x150-spe] -> Loss: 0.12728014588356018 | Accuracy: 0.9678705334663391
[MCA-v1-224x224] -> Loss: 0.12575329840183258 | Accuracy: 0.966109573841095
[MCA-v1-224x224-spe] -> Loss: 0.1366972029209137 | Accuracy: 0.9601953625679016
[MCA-v2-150x150] -> Loss: 0.12492824345827103 | Accuracy: 0.9640495777130127
[MCA-v2-150x150-spe] -> Loss: 0.1272859126329422 | Accuracy: 0.9642489552497864
[MCA-v2-224x224] -> Loss: 0.12178796529769897 | Accuracy: 0.9641824960708618
[MCA-v2-224x224-spe] -> Loss: 0.11454952508211136 | Accuracy: 0.9657440781593323
[VGG16] -> Loss: 10.01673698425293 | Accuracy: 0.8833438754081726
[InceptionV3_TL] -> Loss: 0.048079464584589005 | Accuracy: 0.9874405860900879
[VGG16] -> Loss: 6.56997537612915 | Accuracy: 0.8833438754081726
[InceptionV3_TL] -> Loss: 0.048079486936330795 | Accuracy: 0.9874405860900879
