[InceptionV3_TL] -> Loss: 0.05307026952505112 | Accuracy: 0.9866763949394226
[ResNet50_TL] -> Loss: 0.029216961935162544 | Accuracy: 0.9916602969169617
[InceptionV3_TL] -> Loss: 0.05307020619511604 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307023227214813 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307019129395485 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307019129395485 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307023227214813 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307026579976082 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307023599743843 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307026579976082 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307024344801903 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.053070276975631714 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307028815150261 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307028070092201 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307020992040634 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307028070092201 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307025834918022 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307020619511604 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307026579976082 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307023599743843 | Accuracy: 0.9866763949394226
[ResNet50_TL] -> Loss: 0.029216941446065903 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216960072517395 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.02921694703400135 | Accuracy: 0.9916602969169617
[InceptionV3_TL] -> Loss: 0.05307024344801903 | Accuracy: 0.9866763949394226
[ResNet50_TL] -> Loss: 0.029216991737484932 | Accuracy: 0.9916602969169617
[InceptionV3_TL] -> Loss: 0.05307026952505112 | Accuracy: 0.9866763949394226
[ResNet50_TL] -> Loss: 0.029216965660452843 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216965660452843 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216984286904335 | Accuracy: 0.9916602969169617
[InceptionV3_TL] -> Loss: 0.05307032912969589 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307023599743843 | Accuracy: 0.9866763949394226
[ResNet50_TL] -> Loss: 0.029216963797807693 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216937720775604 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216984286904335 | Accuracy: 0.9916602969169617
[InceptionV3_TL] -> Loss: 0.05307023599743843 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307020619511604 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307020619511604 | Accuracy: 0.9866763949394226
[InceptionV3_TL] -> Loss: 0.05307002738118172 | Accuracy: 0.9866763949394226
[ResNet50_TL] -> Loss: 0.02921699360013008 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.02921696938574314 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216963797807693 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216963797807693 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216960072517395 | Accuracy: 0.9916602969169617
[MCA-v2-224x224] -> Loss: 0.12178797274827957 | Accuracy: 0.9641824960708618
[MCA-v2-224x224] -> Loss: 0.12178801745176315 | Accuracy: 0.9641824960708618
[MCA-v2-224x224] -> Loss: 0.12178792804479599 | Accuracy: 0.9641824960708618
[MCA-v2-224x224] -> Loss: 0.121787890791893 | Accuracy: 0.9641824960708618
[MCA-v2-224x224] -> Loss: 0.12178795039653778 | Accuracy: 0.9641824960708618
[MCA-v2-224x224] -> Loss: 0.12178795784711838 | Accuracy: 0.9641824960708618
[MCA-v2-224x224] -> Loss: 0.12178794294595718 | Accuracy: 0.9641824960708618
[MCA-v2-224x224] -> Loss: 0.12178793549537659 | Accuracy: 0.9641824960708618
[MCA-v2-224x224] -> Loss: 0.1217879056930542 | Accuracy: 0.9641824960708618
[MCA-v1-150x150] -> Loss: 0.12085406482219696 | Accuracy: 0.9670398831367493
[MCA-v2-150x150] -> Loss: 0.12492827326059341 | Accuracy: 0.9640495777130127
[MCA-v1-224x224] -> Loss: 0.1257534623146057 | Accuracy: 0.966109573841095
[MCA-v2-224x224] -> Loss: 0.12178793549537659 | Accuracy: 0.9641824960708618
[ResNet50_TL] -> Loss: 0.029216954484581947 | Accuracy: 0.9916602969169617
[InceptionV3_TL] -> Loss: 0.05307020992040634 | Accuracy: 0.9866763949394226
[VGG16] -> Loss: 7.524233341217041 | Accuracy: 0.8833438754081726
[ResNet50_TL] -> Loss: 0.029216982424259186 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.02921696938574314 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.0292169451713562 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216978698968887 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216958209872246 | Accuracy: 0.9916602969169617
[ResNet50_TL] -> Loss: 0.029216978698968887 | Accuracy: 0.9916602969169617
